url,screenshot,palette,heatmap,color_1,prop_1,color_2,prop_2,color_3,prop_3,color_4,prop_4,color_5,prop_5
https://barometromultimedia.neocities.org,screenshots\barometromultimedia.neocities.org.png,palettes\barometromultimedia.neocities.org_palette.png,heatmaps\barometromultimedia.neocities.org_heatmap.png,#f4f4dc,"90,71",#7c7961,"0,66",#a8a79e,"1,62",#fdfdfb,"4,99",#cdcdc8,"2,02"
https://inthemeantimewecry.neocities.org,screenshots\inthemeantimewecry.neocities.org.png,palettes\inthemeantimewecry.neocities.org_palette.png,heatmaps\inthemeantimewecry.neocities.org_heatmap.png,#a10468,"19,7",#0e0209,"30,06",#ea049e,"28,16",#b8c1da,"3,99",#510436,"18,09"
https://day-in-ritas-life.neocities.org,screenshots\day-in-ritas-life.neocities.org.png,palettes\day-in-ritas-life.neocities.org_palette.png,heatmaps\day-in-ritas-life.neocities.org_heatmap.png,#0101fd,"52,01",#181515,"22,57",#714945,"15,23",#4a49f8,"5,67",#bb9e94,"4,52"
https://rociospecialplace.neocities.org,screenshots\rociospecialplace.neocities.org.png,palettes\rociospecialplace.neocities.org_palette.png,heatmaps\rociospecialplace.neocities.org_heatmap.png,#fafafb,"60,9",#b7c993,"6,07",#f4dae5,"20,32",#edf1cf,"11,36",#6b6067,"1,36"
https://re-esix.neocities.org,screenshots\re-esix.neocities.org.png,palettes\re-esix.neocities.org_palette.png,heatmaps\re-esix.neocities.org_heatmap.png,#000000,"97,82",#525151,"0,74",#979697,"0,42",#2b2a2b,"0,88",#000166,"0,14"
https://cidoku.neocities.org,screenshots\cidoku.neocities.org.png,palettes\cidoku.neocities.org_palette.png,heatmaps\cidoku.neocities.org_heatmap.png,#000000,"90,27",#420814,"2,76",#1d080d,"4,39",#2e2e2e,"1,59",#841028,"0,99"
https://r3tro.neocities.org,screenshots\r3tro.neocities.org.png,palettes\r3tro.neocities.org_palette.png,heatmaps\r3tro.neocities.org_heatmap.png,#fefefe,"92,2",#9c9699,"2,2",#af7736,"1,09",#364f72,"1,6",#ceccd5,"2,91"
https://emiemi.neocities.org,screenshots\emiemi.neocities.org.png,palettes\emiemi.neocities.org_palette.png,heatmaps\emiemi.neocities.org_heatmap.png,#c8b4a2,"14,06",#fbf4ea,"53,39",#e2cfb9,"10,37",#7a7977,"1,08",#f1e7db,"21,1"
https://gatotuerto.neocities.org,screenshots\gatotuerto.neocities.org.png,palettes\gatotuerto.neocities.org_palette.png,heatmaps\gatotuerto.neocities.org_heatmap.png,#f2cee3,"17,85",#4a4b4b,"17,6",#141e22,"35,35",#7b7876,"16,03",#b8aab1,"13,18"
https://147call.neocities.org,screenshots\147call.neocities.org.png,pallettes\147call.neocities.org_pallette.png,heatmaps\147call.neocities.org_heatmap.png,#ffffff,100,,,,,,,,
https://diegowned.neocities.org,screenshots\diegowned.neocities.org.png,palettes\diegowned.neocities.org_palette.png,heatmaps\diegowned.neocities.org_heatmap.png,#000000,"95,22",#6a4118,"2,23",#005c00,"1,06",#009000,"0,72",#002700,"0,77"
https://thefalconsnest.neocities.org,screenshots\thefalconsnest.neocities.org.png,palettes\thefalconsnest.neocities.org_palette.png,heatmaps\thefalconsnest.neocities.org_heatmap.png,#9497ab,"6,07",#1b2c58,"31,1",#53547f,"11,78",#fdfdfd,"19,1",#070d2a,"31,95"
https://conchatumadre.neocities.org,screenshots\conchatumadre.neocities.org.png,palettes\conchatumadre.neocities.org_palette.png,heatmaps\conchatumadre.neocities.org_heatmap.png,#fefefe,"96,61",#afafaf,"0,63",#c8c8cd,"0,99",#70706f,"0,58",#e3e3e5,"1,19"
https://arquitectosis.neocities.org,screenshots\arquitectosis.neocities.org.png,palettes\arquitectosis.neocities.org_palette.png,heatmaps\arquitectosis.neocities.org_heatmap.png,#e4e4e4,"32,88",#1a1a1a,"53,75",#4c4c4c,"6,33",#7d7d7d,"4,4",#b9b9b9,"2,65"
https://heaven-is-a-hand-grenade.neocities.org,screenshots\heaven-is-a-hand-grenade.neocities.org.png,palettes\heaven-is-a-hand-grenade.neocities.org_palette.png,heatmaps\heaven-is-a-hand-grenade.neocities.org_heatmap.png,#fefefe,"99,18",#a3a3a4,"0,23",#e4e4e3,"0,27",#c2c2c1,"0,17",#858585,"0,15"
